flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
133,2.06,213,164,49,0.279,0,197
134,6.53,151,116,35,0.254,0,207
135,11.7,169,153,16,0.281,0,376
136,2.33,240,190,50,0.137,0,196
137,2.27,202,175,27,0.364,0,193
138,5.2,263,202,61,0.128,0,291
139,6.37,97,84,13,0.338,1,166
140,4.05,216,174,42,0.551,1,332
141,8.28,96,83,13,0.221,1,220
142,9.44,271,246,25,0.223,0,509
143,7.91,70,64,6,0.235,1,170
144,4.63,207,180,27,0.166,1,353
145,7.7,141,113,28,0.294,1,295
146,5.0,208,173,35,0.187,0,258
147,2.39,170,139,31,0.195,0,136
148,4.01,165,148,17,0.251,1,275
149,8.18,203,174,29,0.319,1,509
150,1.01,284,268,16,0.109,0,277
151,4.49,199,157,42,0.394,0,268
152,9.72,198,149,49,0.05,0,406
153,3.83,50,44,6,0.371,0,68
154,3.46,214,203,11,0.189,1,320
155,6.85,126,116,10,0.492,0,200
156,9.36,134,110,24,0.288,0,294
157,3.67,95,79,16,0.29,1,163
158,10.22,186,148,38,0.241,0,385
159,9.31,194,175,19,0.41,0,463
160,6.44,96,77,19,0.259,1,171
161,1.7,262,213,49,0.134,0,243
162,11.2,272,241,31,0.304,0,570
163,8.82,280,236,44,0.342,1,711
164,5.9,108,100,8,0.117,1,164
165,5.92,103,89,14,0.184,1,148
166,3.39,135,105,30,0.334,0,182
167,5.52,61,53,8,0.119,0,75
168,4.98,241,189,52,0.135,1,383
169,4.15,296,247,49,0.175,0,392
170,3.93,55,51,4,0.178,0,87
171,2.08,102,86,16,0.37,0,86
172,11.67,193,164,29,0.321,0,405
173,6.71,139,121,18,0.159,0,176
174,7.67,54,51,3,0.583,0,110
175,1.27,122,106,16,0.344,0,124
176,6.44,223,209,14,0.196,1,390
177,5.56,281,262,19,0.252,0,405
178,1.4,63,55,8,0.1,0,53
179,5.16,221,197,24,0.377,0,349
180,4.67,240,184,56,0.38,0,315
181,10.67,155,136,19,0.305,1,412
182,3.21,271,217,54,0.27,1,372
183,5.65,101,86,15,0.393,1,162
184,8.63,165,134,31,0.531,1,468
185,8.16,75,68,7,0.458,1,181
186,8.36,102,78,24,0.059,0,211
187,7.4,158,134,24,0.103,0,301
188,5.62,78,62,16,0.265,0,100
189,7.11,68,60,8,0.356,0,134
190,1.05,96,90,6,0.35,0,96
191,7.84,185,151,34,0.292,0,379
192,3.28,72,69,3,0.179,0,110
193,2.2,166,142,24,0.264,0,152
194,8.49,155,142,13,0.26,0,331
195,11.83,212,175,37,0.184,0,433
196,6.55,272,206,66,0.028,1,407
197,7.11,102,88,14,0.114,0,207
198,5.17,276,218,58,0.351,1,447
199,5.53,145,124,21,0.213,1,238
200,3.17,235,200,35,0.21,0,334
201,7.92,54,42,12,0.556,0,116
202,6.76,65,51,14,0.34,0,80
203,8.43,66,53,13,0.114,1,161
204,6.61,209,187,22,0.079,0,266
205,2.01,151,127,24,0.366,0,146
206,5.7,299,271,28,0.142,0,407
207,6.06,273,236,37,0.075,0,316
208,8.99,229,196,33,0.256,1,481
209,6.38,69,55,14,0.216,0,90
210,9.67,161,125,36,0.457,0,352
211,6.76,169,147,22,0.328,0,247
212,6.32,243,230,13,0.293,1,413
213,4.78,261,203,58,0.09,1,397
214,6.99,160,147,13,0.541,0,219
215,10.64,259,214,45,0.436,0,566
216,8.55,50,48,2,0.689,0,112
217,2.7,107,94,13,0.431,0,99
218,6.01,142,107,35,0.253,1,226
219,8.79,270,252,18,0.177,0,540
220,7.48,260,225,35,0.391,0,592
221,3.35,221,197,24,0.431,0,335
222,4.98,281,217,64,0.062,0,345
223,4.48,55,43,12,0.252,0,75
224,1.8,157,142,15,0.059,0,160
225,1.2,152,142,10,0.26,0,152
226,5.15,99,82,17,0.451,1,163
227,7.01,167,148,19,0.426,0,330
228,2.28,159,130,29,0.033,0,153
229,2.45,249,235,14,0.312,0,271
230,4.2,137,127,10,0.088,0,183
231,2.77,69,57,12,0.13,0,66
232,2.56,295,268,27,0.323,0,299
233,4.07,63,50,13,0.239,0,87
234,1.75,182,171,11,0.115,0,157
235,8.7,218,198,20,0.299,0,418
236,7.72,89,67,22,0.306,0,162
237,4.19,83,72,11,0.102,1,118
238,3.72,173,141,32,0.321,0,225
239,11.78,257,235,22,0.295,0,504
240,6.69,94,78,16,0.436,0,129
241,2.79,248,200,48,0.486,0,252
242,8.28,129,115,14,0.257,1,329
243,9.07,120,95,25,0.388,0,289
244,3.26,204,170,34,0.253,0,265
245,8.38,127,111,16,0.233,0,257
246,6.58,127,107,20,0.419,0,168
247,2.82,221,185,36,0.439,0,222
248,2.04,82,76,6,0.289,0,71
249,2.05,82,72,10,0.458,0,80
250,1.82,93,82,11,0.284,0,78
251,9.51,69,61,8,0.127,1,183
252,2.66,294,235,59,0.276,0,242
253,3.22,160,137,23,0.223,0,213
254,7.11,213,163,50,0.347,0,460
255,11.82,56,50,6,0.201,1,130
256,1.02,209,182,27,0.335,0,203
257,11.77,289,230,59,0.267,1,644
258,5.61,244,206,38,0.357,0,385
259,11.64,216,182,34,0.243,0,470
260,5.24,270,254,16,0.015,1,438
261,10.7,73,64,9,0.238,1,183
262,5.81,263,236,27,0.195,0,334
263,2.86,119,90,29,0.697,0,99
264,9.65,161,144,17,0.504,0,329
265,5.02,265,205,60,0.231,0,403
266,3.92,153,125,28,0.326,1,215
267,11.52,264,233,31,0.131,0,500
268,4.37,103,87,16,0.2,0,154
269,4.72,87,69,18,0.249,0,116
270,1.59,123,96,27,0.677,0,115
271,7.29,129,119,10,0.111,0,258
272,1.31,252,223,29,0.422,0,234
273,5.87,81,72,9,0.379,0,115
274,8.31,94,89,5,0.156,1,229
275,1.6,110,92,18,0.498,0,105
276,1.4,247,193,54,0.381,0,223
277,4.45,265,232,33,0.398,0,371
278,6.66,274,220,54,0.334,0,401
279,2.45,102,85,17,0.36,0,98
280,3.09,177,155,22,0.182,1,323
281,7.22,228,211,17,0.424,1,627
282,6.78,125,102,23,0.456,1,203
283,4.38,233,182,51,0.19,0,285
284,9.86,76,62,14,0.409,1,192
285,7.09,215,204,11,0.204,0,466
286,1.98,111,101,10,0.283,0,121
287,6.03,67,63,4,0.159,0,103
288,6.19,176,148,28,0.15,0,258
289,2.05,158,127,31,0.22,0,143
290,4.85,152,142,10,0.276,0,237
291,8.62,241,189,52,0.138,0,485
292,1.05,296,249,47,0.343,0,302
293,5.77,126,103,23,0.126,0,152
294,7.75,166,126,40,0.306,1,394
295,6.39,153,143,10,0.364,1,234
296,2.61,207,160,47,0.216,0,193
297,6.64,294,272,22,0.473,0,458
298,9.93,98,86,12,0.281,0,196
299,7.39,218,170,48,0.28,0,469
300,11.95,165,127,38,0.384,1,359
301,2.97,190,162,28,0.338,0,204
302,9.19,211,176,35,0.284,1,538
303,4.8,149,121,28,0.085,1,214
304,2.24,271,213,58,0.317,0,244
305,6.29,174,162,12,0.056,1,273
306,9.57,74,59,15,0.161,0,138
307,2.68,243,208,35,0.111,0,215
308,7.6,177,153,24,0.333,1,483
309,9.1,149,129,20,0.204,0,272
310,1.36,195,166,29,0.303,0,183
311,4.37,54,42,12,0.121,0,71
312,8.76,68,58,10,0.172,1,165
313,3.48,219,167,52,0.125,0,290
314,6.47,67,62,5,0.58,1,110
315,7.88,170,137,33,0.152,0,302
316,10.58,81,64,17,0.164,0,160
317,7.2,198,162,36,0.491,0,485
318,6.55,59,49,10,0.319,0,88
319,2.9,86,72,14,0.339,0,79
320,6.73,226,176,50,0.174,1,373
321,1.53,135,107,28,0.337,0,130
322,5.36,62,58,4,0.199,1,112
323,2.11,232,182,50,0.332,0,193
324,2.52,194,169,25,0.402,0,180
325,7.32,58,53,5,0.237,0,105
326,2.3,137,107,30,0.533,0,140
327,5.42,221,191,30,0.368,0,313
328,5.11,255,202,53,0.248,0,384
329,5.44,95,86,9,0.667,1,154
330,3.52,185,176,9,0.076,0,247
331,3.8,168,143,25,0.16,0,254
332,10.55,214,200,14,0.357,1,629
333,7.78,68,55,13,0.303,1,183
334,6.53,240,215,25,0.026,1,410
335,5.28,269,232,37,0.245,1,437
336,1.21,223,208,15,0.379,0,226
337,8.82,282,252,30,0.267,1,748
338,10.4,143,114,29,0.494,1,404
339,7.98,248,229,19,0.182,1,646
340,1.02,300,247,53,0.554,0,289
341,6.66,299,230,69,0.221,1,466
342,9.86,75,62,13,0.402,0,156
343,6.34,281,222,59,0.183,0,347
344,5.99,95,89,6,0.69,0,145
345,3.57,167,151,16,0.193,1,240
346,3.1,95,74,21,0.48,0,139
347,4.14,252,204,48,0.265,1,356
348,9.61,63,52,11,0.644,0,165
349,2.27,134,110,24,0.143,0,123
350,1.08,112,98,14,0.384,0,102
351,1.62,121,114,7,0.63,0,141
352,2.94,52,42,10,0.286,0,49
353,10.7,77,63,14,0.31,0,165
354,7.45,174,149,25,0.232,0,381
355,2.33,206,159,47,0.036,0,171
356,1.58,136,121,15,0.083,0,139
357,5.35,195,174,21,0.426,1,363
358,1.99,212,165,47,0.213,0,197
359,7.41,126,100,26,0.157,0,239
360,8.72,125,106,19,0.833,0,280
361,4.46,224,207,17,0.107,1,329
362,9.68,163,148,15,0.203,0,317
363,1.83,182,150,32,0.023,0,166
364,5.69,280,245,35,0.105,0,357
365,5.9,124,98,26,0.4,1,220
366,2.29,299,228,71,0.249,0,316
367,10.92,108,86,22,0.38,0,230
368,3.47,252,221,31,0.524,0,373
369,6.74,108,86,22,0.2,1,159
370,1.52,288,254,34,0.098,0,294
371,4.5,283,260,23,0.277,0,377
372,3.42,96,91,5,0.32,0,129
373,9.09,144,126,18,0.341,1,406
374,7.4,272,210,62,0.717,1,649
375,11.5,190,172,18,0.684,0,375
376,3.57,127,116,11,0.281,0,175
377,3.51,162,123,39,0.206,0,207
378,5.15,158,150,8,0.149,0,231
379,5.15,155,123,32,0.477,0,253
380,3.98,138,123,15,0.156,1,205
381,4.76,82,78,4,0.418,0,131
382,2.88,146,112,34,0.34,0,135
383,10.38,239,221,18,0.187,1,583
384,6.32,128,108,20,0.301,0,186
385,4.25,65,59,6,0.25,1,92
386,9.66,93,88,5,0.188,0,218
387,6.29,235,221,14,0.156,1,391
388,10.7,169,157,12,0.381,1,448
389,7.89,279,262,17,0.203,1,732
390,3.55,183,147,36,0.188,0,221
391,1.09,157,134,23,0.192,0,155
392,5.71,266,235,31,0.28,1,472
393,1.28,192,167,25,0.491,0,205
394,11.55,53,41,12,0.186,1,118
395,2.26,105,81,24,0.27,0,103
396,3.08,113,92,21,0.514,0,156
397,2.17,245,190,55,0.232,0,210
398,3.38,271,241,30,0.151,0,336
399,7.98,211,185,26,0.243,1,496
400,3.8,268,222,46,0.366,1,479
401,11.1,144,119,25,0.181,0,267
402,3.25,105,90,15,0.261,1,149
403,3.15,81,71,10,0.433,0,108
404,5.59,285,215,70,0.347,1,515
405,7.31,280,221,59,0.039,1,594
406,8.48,165,143,22,0.445,0,383
407,3.92,58,47,11,0.151,0,84
408,6.52,240,216,24,0.162,0,288
409,11.36,154,144,10,0.294,1,331
410,10.2,249,219,30,0.366,0,566
411,6.55,127,111,16,0.667,1,210
412,9.2,210,199,11,0.123,1,581
413,6.48,136,108,28,0.33,0,178
414,11.34,70,62,8,0.404,1,158
415,9.19,104,87,17,0.232,0,195
416,9.15,125,117,8,0.554,0,265
417,3.32,234,215,19,0.651,1,470
418,11.18,179,139,40,0.337,0,380
419,2.12,190,158,32,0.089,0,150
420,3.78,175,133,42,0.086,0,220
421,6.0,300,226,74,0.31,0,458
422,7.14,181,159,22,0.35,1,406
423,4.86,133,119,14,0.509,1,227
424,7.46,227,177,50,0.29,0,460
425,10.73,164,124,40,0.244,0,328
426,9.08,97,80,17,0.314,1,240
427,3.75,172,137,35,0.277,0,226
428,7.1,127,101,26,0.2,0,246
429,5.86,79,70,9,0.621,1,141
430,6.8,78,66,12,0.313,1,146
431,1.18,185,145,40,0.091,0,169
432,6.75,189,154,35,0.272,1,286
433,5.46,90,86,4,0.452,0,156
434,5.39,279,247,32,0.344,0,439
435,9.25,75,70,5,0.175,0,150
436,6.51,99,90,9,0.621,0,157
437,1.86,51,40,11,0.401,0,44
438,6.38,104,99,5,0.128,1,174
439,6.04,153,139,14,0.094,1,239
440,5.47,233,207,26,0.178,0,288
441,3.83,63,53,10,0.035,1,102
442,1.52,183,155,28,0.574,0,182
443,2.51,283,257,26,0.254,0,286
444,1.44,177,163,14,0.101,0,167
445,4.53,153,139,14,0.271,0,213
446,3.97,144,123,21,0.089,0,205
447,3.44,130,117,13,0.453,1,209
448,9.34,266,203,63,0.378,0,516
449,1.68,110,95,15,0.391,0,99
450,3.81,273,257,16,0.29,1,444
451,6.65,61,50,11,0.346,0,87
452,1.76,290,257,33,0.226,0,283
453,1.12,62,51,11,0.412,0,57
454,7.09,196,176,20,0.404,0,443
455,4.77,221,185,36,0.297,1,343
456,7.33,289,230,59,0.522,0,614
457,5.47,138,106,32,0.452,0,187
458,10.99,144,130,14,0.119,0,320
459,5.15,108,96,12,0.123,0,140
460,3.81,86,74,12,0.093,0,102
461,5.43,74,57,17,0.16,0,106
462,1.26,65,51,14,0.344,0,53
463,2.59,298,278,20,0.692,0,291
464,2.38,215,199,16,0.288,0,219
465,3.85,220,188,32,0.314,1,313
466,10.22,290,270,20,0.381,1,729
467,2.38,299,264,35,0.351,0,303
468,11.26,136,126,10,0.171,0,276
469,2.34,191,158,33,0.208,0,168
470,5.7,183,140,43,0.367,0,273
471,3.92,266,200,66,0.215,0,377
472,11.68,72,63,9,0.224,0,157
473,10.24,175,146,29,0.215,1,406
474,10.4,109,85,24,0.397,0,239
475,7.55,284,264,20,0.138,1,579
476,1.62,189,154,35,0.204,0,165
477,1.44,190,165,25,0.643,0,221
478,7.99,149,136,13,0.404,1,403
479,7.66,152,133,19,0.141,0,298
480,11.58,275,258,17,0.32,1,622
481,8.43,183,149,34,0.151,0,367
482,9.0,112,101,11,0.67,1,317
483,3.4,87,78,9,0.123,1,130
484,8.27,177,164,13,0.136,0,385
485,6.94,99,77,22,0.377,1,158
486,7.21,229,195,34,0.18,0,489
487,9.98,89,75,14,0.512,0,192
488,2.57,57,48,9,0.332,0,48
489,9.43,238,207,31,0.498,0,484
490,2.51,57,52,5,0.122,0,51
491,9.53,153,123,30,0.115,0,304
492,8.57,274,254,20,0.3,1,588
493,7.89,83,78,5,0.406,0,160
494,3.98,285,231,54,0.061,1,504
495,1.35,256,233,23,0.399,0,232
496,4.43,277,247,30,0.352,0,418
497,6.67,237,203,34,0.376,1,454
498,11.1,106,92,14,0.179,1,259
499,4.36,276,224,52,0.521,1,521
500,2.3,223,185,38,0.083,0,194
501,7.82,71,59,12,0.322,0,137
502,3.74,136,110,26,0.396,0,212
503,2.24,89,80,9,0.13,0,84
504,1.86,222,197,25,0.058,0,211
505,2.49,232,201,31,0.582,0,234
506,3.71,228,203,25,0.426,0,311
507,10.68,135,102,33,0.4,1,356
508,8.22,182,144,38,0.25,1,400
509,3.36,144,133,11,0.31,0,202
510,7.84,62,59,3,0.281,0,136
511,4.16,77,73,4,0.436,0,113
512,8.62,299,270,29,0.276,0,689
513,6.18,133,124,9,0.133,1,227
514,2.23,274,232,42,0.126,0,259
515,3.71,257,201,56,0.512,1,473
516,7.78,111,90,21,0.082,0,243
517,11.23,142,129,13,0.391,1,378
518,2.75,136,119,17,0.185,0,111
519,4.59,73,62,11,0.039,1,101
520,2.11,147,116,31,0.398,0,135
521,2.85,56,44,12,0.359,0,51
522,7.87,215,166,49,0.257,0,462
523,11.81,86,73,13,0.188,0,195
524,3.22,117,95,22,0.568,0,161
525,4.92,275,256,19,0.285,1,477
526,8.17,219,184,35,0.224,0,483
527,5.83,135,122,13,0.112,0,164
528,4.91,182,158,24,0.119,1,296
529,2.59,241,199,42,0.402,0,213
530,11.73,227,204,23,0.221,0,419
531,8.55,283,266,17,0.011,1,686
532,6.64,136,129,7,0.17,0,180
533,2.27,295,279,16,0.451,0,325
534,10.39,64,61,3,0.373,1,171
535,6.23,272,253,19,0.191,0,349
536,7.8,172,156,16,0.653,1,415
537,4.3,250,227,23,0.107,0,291
538,3.57,156,118,38,0.091,0,188
539,5.81,299,266,33,0.082,0,432
540,3.45,230,213,17,0.154,1,390
541,4.02,202,170,32,0.376,1,327
542,8.53,138,108,30,0.185,0,240
543,1.48,174,142,32,0.24,0,179
544,2.17,162,145,17,0.057,0,134
545,8.93,262,220,42,0.511,0,599
546,11.93,186,151,35,0.458,1,529
547,6.05,296,239,57,0.227,1,424
548,6.01,289,237,52,0.226,1,466
549,4.69,215,167,48,0.268,0,271
550,1.77,199,155,44,0.308,0,183
551,2.94,156,131,25,0.288,0,166
552,8.57,136,118,18,0.307,0,245
553,4.13,226,186,40,0.237,0,305
554,6.84,117,93,24,0.12,1,197
555,3.0,270,257,13,0.31,0,365
556,1.94,64,49,15,0.202,0,50
557,8.48,114,105,9,0.278,0,239
558,4.27,103,89,14,0.081,1,146
559,6.94,207,161,46,0.211,1,276
560,4.48,142,129,13,0.154,0,184
561,10.39,69,59,10,0.375,1,147
562,10.63,82,76,6,0.291,0,175
563,7.36,282,246,36,0.167,0,620
564,11.52,285,261,24,0.182,0,602
565,9.89,149,131,18,0.336,0,315
566,1.35,263,231,32,0.323,0,248
567,10.64,126,95,31,0.262,0,259
568,2.05,184,139,45,0.352,0,143
569,8.16,185,172,13,0.473,0,435
570,7.76,205,165,40,0.153,0,394
571,4.53,222,209,13,0.074,1,324
572,8.41,156,148,8,0.368,0,322
573,10.39,250,233,17,0.178,0,527
574,2.27,266,202,64,0.357,0,267
575,8.28,169,129,40,0.388,0,357
576,1.24,257,235,22,0.309,0,238
577,6.08,123,113,10,0.171,0,184
578,3.92,60,55,5,0.03,0,83
579,9.6,80,68,12,0.104,1,182
580,5.37,61,51,10,0.128,0,84
581,4.79,173,157,16,0.335,1,304
582,11.77,272,218,54,0.524,1,661
583,1.48,127,113,14,0.132,0,121
584,7.82,228,175,53,0.295,0,421
585,1.17,221,181,40,0.213,0,201
586,2.97,145,126,19,0.146,0,120
587,4.99,99,79,20,0.396,0,127
588,3.94,166,131,35,0.46,0,243
589,1.99,66,59,7,0.303,0,62
590,2.62,212,187,25,0.373,0,213
591,1.96,178,136,42,0.297,0,168
592,5.38,206,189,17,0.253,0,265
593,2.1,228,215,13,0.493,0,229
594,9.27,113,98,15,0.114,1,262
595,7.87,181,143,38,0.121,0,374
596,8.76,136,109,27,0.029,0,254
597,6.62,205,158,47,0.332,0,252
598,9.32,65,55,10,0.371,0,132
599,2.5,112,105,7,0.273,0,94
600,4.21,125,105,20,0.321,0,194
601,5.54,230,183,47,0.15,1,401
602,2.43,134,125,9,0.2,0,117
603,11.3,158,145,13,0.222,0,364
604,6.1,66,63,3,0.121,0,83
605,10.92,217,181,36,0.125,0,428
606,5.05,190,147,43,0.297,0,278
607,2.28,229,187,42,0.14,0,212
608,6.36,107,81,26,0.354,0,134
609,3.25,273,256,17,0.494,0,423
610,7.24,214,165,49,0.217,0,427
611,1.19,291,230,61,0.27,0,295
612,9.19,128,114,14,0.08,1,308
613,5.91,253,192,61,0.112,1,364
614,2.32,110,99,11,0.088,0,95
615,1.37,162,126,36,0.293,0,156
616,3.84,170,132,38,0.379,0,261
617,10.7,256,205,51,0.145,1,631
618,2.61,83,70,13,0.446,0,80
619,7.23,119,111,8,0.496,0,239
620,6.36,66,56,10,0.239,0,101
621,2.79,289,254,35,0.29,0,301
622,4.73,290,230,60,0.25,0,439
623,9.01,298,238,60,0.277,0,551
624,2.78,69,53,16,0.039,0,65
625,4.45,250,237,13,0.236,1,432
626,9.65,108,86,22,0.019,1,254
627,3.56,118,90,28,0.431,1,205
628,3.36,264,210,54,0.422,0,348
629,10.44,210,195,15,0.218,1,513
630,8.0,151,141,10,0.53,1,437
631,9.2,169,160,9,0.601,1,442
632,2.73,255,211,44,0.205,0,229
633,1.83,194,160,34,0.393,0,171
634,2.48,106,80,26,0.509,0,110
635,4.54,132,115,17,0.175,1,226
636,8.58,274,243,31,0.081,0,531
637,7.89,178,147,31,0.293,0,392
638,4.68,62,49,13,0.306,0,99
639,1.77,287,219,68,0.303,0,286
640,11.45,204,162,42,0.184,1,503
641,8.08,247,214,33,0.206,0,486
642,7.53,236,195,41,0.05,0,426
643,3.4,55,43,12,0.273,1,81
644,8.78,146,125,21,0.538,0,307
645,6.76,143,130,13,0.364,1,234
646,2.19,159,146,13,0.071,0,137
647,8.55,276,263,13,0.155,0,517
648,6.98,200,162,38,0.18,0,277
649,1.65,187,174,13,0.437,0,180
650,2.23,100,91,9,0.626,0,96
651,6.35,196,175,21,0.109,1,330
652,9.91,100,84,16,0.347,0,212
653,5.98,269,235,34,0.385,0,392
654,6.43,136,111,25,0.047,1,218
655,11.0,117,110,7,0.149,0,209
656,2.05,133,124,9,0.5,0,154
657,2.84,260,222,38,0.03,0,241
658,7.45,91,81,10,0.103,0,185
659,8.2,268,239,29,0.614,0,572
660,4.43,106,100,6,0.315,1,172
661,7.41,275,212,63,0.149,0,480
662,11.52,245,199,46,0.192,0,516
663,11.67,297,275,22,0.368,0,685
664,11.59,215,202,13,0.487,0,462
665,11.06,111,84,27,0.477,1,253
666,8.25,56,46,10,0.09,0,100
667,9.94,161,140,21,0.256,1,400
668,4.79,248,201,47,0.161,0,379
669,2.76,227,182,45,0.144,0,207
670,7.72,229,182,47,0.251,1,550
671,6.66,75,65,10,0.358,0,108
672,4.45,203,176,27,0.124,0,285
673,4.74,295,280,15,0.134,1,468
674,3.39,68,52,16,0.229,0,89
675,7.89,58,49,9,0.514,0,130
676,4.87,110,101,9,0.304,0,144
677,3.33,69,53,16,0.116,1,106
678,10.38,155,119,36,0.499,0,333
679,4.13,286,216,70,0.234,1,480
680,1.36,99,77,22,0.268,0,82
681,5.38,257,193,64,0.297,1,411
682,7.37,295,266,29,0.147,0,652
683,3.04,130,102,28,0.115,0,159
684,4.33,199,157,42,0.029,0,265
685,2.43,190,172,18,0.022,0,182
686,2.15,189,176,13,0.373,0,171
687,1.68,59,45,14,0.211,0,58
688,7.69,114,102,12,0.004,1,220
689,7.96,273,212,61,0.622,0,592
690,5.2,207,197,10,0.377,1,321
691,9.81,57,54,3,0.203,0,115
692,2.68,198,170,28,0.582,0,172
693,6.78,71,65,6,0.364,1,127
694,4.26,67,55,12,0.241,1,120
695,6.27,243,204,39,0.061,0,290
